Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
39,0.027771,-0.0238037,-0.0314331,-0.00183105,0.0192261,-0.0735474,-0.00915527,0.104675,0.00640869,0.0372314,0.0222778,0.0112915,0.00640869,-0.00701904,-0.0256348,-0.0210571
149,0.0216675,-0.0344849,-0.0357056,-0.000915527,0.0216675,-0.0674438,-0.0100708,0.116272,0.00671387,0.0372314,0.0198364,0.0088501,0.00640869,-0.00671387,-0.0250244,-0.0198364
149,0.0216675,-0.0344849,-0.0357056,-0.000915527,0.0216675,-0.0674438,-0.0100708,0.116272,0.00671387,0.0372314,0.0198364,0.0088501,0.00640869,-0.00671387,-0.0250244,-0.0198364
249,0.0219727,-0.045166,-0.0418091,0.000305176,0.0222778,-0.0665283,-0.0088501,0.129395,0.00549316,0.0366211,0.0222778,0.00915527,0.00640869,-0.00610352,-0.0250244,-0.020752
249,0.0219727,-0.045166,-0.0418091,0.000305176,0.0222778,-0.0665283,-0.0088501,0.129395,0.00549316,0.0366211,0.0222778,0.00915527,0.00640869,-0.00610352,-0.0250244,-0.020752
349,0.0302124,-0.0302124,-0.0430298,-0.00732422,0.0195312,-0.0717163,-0.00946045,0.114441,0.00579834,0.0360107,0.0274658,0.0134277,0.00732422,-0.00640869,-0.0253296,-0.0204468
349,0.0302124,-0.0302124,-0.0430298,-0.00732422,0.0195312,-0.0717163,-0.00946045,0.114441,0.00579834,0.0360107,0.0274658,0.0134277,0.00732422,-0.00640869,-0.0253296,-0.0204468
449,0.0314331,-0.0296021,-0.0469971,-0.0100708,0.0228882,-0.0704956,-0.0100708,0.116272,0.00488281,0.0357056,0.0244141,0.0125122,0.00732422,-0.00671387,-0.0250244,-0.0198364
449,0.0314331,-0.0296021,-0.0469971,-0.0100708,0.0228882,-0.0704956,-0.0100708,0.116272,0.00488281,0.0357056,0.0244141,0.0125122,0.00732422,-0.00671387,-0.0250244,-0.0198364
559,0.032959,-0.0335693,-0.0482178,-0.00732422,0.0231934,-0.0686646,-0.00915527,0.121765,0.00427246,0.0372314,0.0280762,0.0134277,0.00762939,-0.00549316,-0.0250244,-0.0183105
559,0.032959,-0.0335693,-0.0482178,-0.00732422,0.0231934,-0.0686646,-0.00915527,0.121765,0.00427246,0.0372314,0.0280762,0.0134277,0.00762939,-0.00549316,-0.0250244,-0.0183105
649,0.0302124,-0.0485229,-0.0506592,-0.00183105,0.0222778,-0.065918,-0.0088501,0.140381,0.00549316,0.0378418,0.0250244,0.0125122,0.00732422,-0.00610352,-0.0250244,-0.0186157
649,0.0302124,-0.0485229,-0.0506592,-0.00183105,0.0222778,-0.065918,-0.0088501,0.140381,0.00549316,0.0378418,0.0250244,0.0125122,0.00732422,-0.00610352,-0.0250244,-0.0186157
759,0.0289917,-0.0494385,-0.0534058,-0.00396729,0.0216675,-0.0653076,-0.00854492,0.139771,0.00610352,0.0378418,0.0247192,0.012207,0.00610352,-0.00610352,-0.0244141,-0.0183105
849,0.0302124,-0.0387573,-0.0469971,-0.00488281,0.0222778,-0.067749,-0.00946045,0.1297,0.00518799,0.0375366,0.027771,0.0140381,0.00732422,-0.00610352,-0.0244141,-0.0180054
849,0.0302124,-0.0387573,-0.0469971,-0.00488281,0.0222778,-0.067749,-0.00946045,0.1297,0.00518799,0.0375366,0.027771,0.0140381,0.00732422,-0.00610352,-0.0244141,-0.0180054
959,0.0280762,-0.0369263,-0.0445557,-0.00640869,0.0216675,-0.0695801,-0.010376,0.124207,0.00488281,0.0384521,0.032959,0.0167847,0.00793457,-0.00518799,-0.0250244,-0.0183105
959,0.0280762,-0.0369263,-0.0445557,-0.00640869,0.0216675,-0.0695801,-0.010376,0.124207,0.00488281,0.0384521,0.032959,0.0167847,0.00793457,-0.00518799,-0.0250244,-0.0183105
1059,0.027771,-0.0427246,-0.0439453,-0.00152588,0.0204468,-0.0680542,-0.00793457,0.133057,0.00549316,0.0390625,0.0311279,0.0161743,0.00762939,-0.00640869,-0.0259399,-0.0186157
1059,0.027771,-0.0427246,-0.0439453,-0.00152588,0.0204468,-0.0680542,-0.00793457,0.133057,0.00549316,0.0390625,0.0311279,0.0161743,0.00762939,-0.00640869,-0.0259399,-0.0186157
1159,0.0317383,-0.0430298,-0.0445557,-0.00152588,0.0183105,-0.0689697,-0.00823975,0.125427,0.00610352,0.0405884,0.0244141,0.0109863,0.00671387,-0.00671387,-0.0253296,-0.0183105
1159,0.0317383,-0.0430298,-0.0445557,-0.00152588,0.0183105,-0.0689697,-0.00823975,0.125427,0.00610352,0.0405884,0.0244141,0.0109863,0.00671387,-0.00671387,-0.0253296,-0.0183105
1259,0.0308228,-0.0387573,-0.0463867,-0.00427246,0.0177002,-0.0708008,-0.00854492,0.119629,0.00732422,0.0411987,0.0253296,0.0115967,0.00823975,-0.00610352,-0.0253296,-0.0180054
1259,0.0308228,-0.0387573,-0.0463867,-0.00427246,0.0177002,-0.0708008,-0.00854492,0.119629,0.00732422,0.0411987,0.0253296,0.0115967,0.00823975,-0.00610352,-0.0253296,-0.0180054
1349,0.0296021,-0.032959,-0.0384521,-0.00305176,0.0164795,-0.0720215,-0.00793457,0.112915,0.00671387,0.0405884,0.0259399,0.0112915,0.00701904,-0.00610352,-0.0250244,-0.0195312
1349,0.0296021,-0.032959,-0.0384521,-0.00305176,0.0164795,-0.0720215,-0.00793457,0.112915,0.00671387,0.0405884,0.0259399,0.0112915,0.00701904,-0.00610352,-0.0250244,-0.0195312
1459,0.0302124,-0.0286865,-0.0335693,0.000305176,0.0167847,-0.072937,-0.00854492,0.110168,0.00671387,0.0402832,0.0241089,0.010376,0.00793457,-0.00732422,-0.0253296,-0.0201416
1459,0.0302124,-0.0286865,-0.0335693,0.000305176,0.0167847,-0.072937,-0.00854492,0.110168,0.00671387,0.0402832,0.0241089,0.010376,0.00793457,-0.00732422,-0.0253296,-0.0201416
1549,0.0280762,-0.0311279,-0.0332642,0.00152588,0.0177002,-0.072937,-0.00793457,0.11261,0.00610352,0.0405884,0.0219727,0.0109863,0.00732422,-0.00610352,-0.0250244,-0.0189209
1549,0.0280762,-0.0311279,-0.0332642,0.00152588,0.0177002,-0.072937,-0.00793457,0.11261,0.00610352,0.0405884,0.0219727,0.0109863,0.00732422,-0.00610352,-0.0250244,-0.0189209
1659,0.0271606,-0.0323486,-0.0338745,0.000610352,0.0164795,-0.0726318,-0.00793457,0.11322,0.00762939,0.0396729,0.0228882,0.00976562,0.00732422,-0.00732422,-0.0256348,-0.0201416
1759,0.0259399,-0.0335693,-0.0344849,0.000305176,0.0167847,-0.0720215,-0.00793457,0.114136,0.00732422,0.0390625,0.0216675,0.00793457,0.00732422,-0.00671387,-0.0256348,-0.0189209
