Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
31,-0.00305176,-0.00152588,-0.00152588,-0.00152588,-0.00152588,-0.00274658,-0.000305176,-0.00305176,-0.00274658,-0.000610352,-0.00366211,0.000915527,-0.0012207,-0.00244141,-0.00244141,-0.000915527
141,-0.00366211,-0.00183105,-0.000610352,-0.0012207,-0.000915527,-0.00244141,0.000305176,-0.00366211,-0.00244141,-0.00183105,-0.00305176,0.000305176,-0.0012207,-0.00305176,-0.00183105,-0.000610352
241,-0.00335693,-0.00152588,-0.000305176,-0.00244141,-0.0012207,-0.00244141,-0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00335693,0.000610352,-0.000610352,-0.00274658,-0.00305176,-0.000305176
241,-0.00335693,-0.00152588,-0.000305176,-0.00244141,-0.0012207,-0.00244141,-0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00335693,0.000610352,-0.000610352,-0.00274658,-0.00305176,-0.000305176
341,-0.00335693,-0.0012207,-0.000305176,-0.00152588,-0.00152588,-0.00213623,0,-0.00305176,-0.00274658,-0.00152588,-0.00305176,0,-0.000915527,-0.00213623,-0.00244141,0
341,-0.00335693,-0.0012207,-0.000305176,-0.00152588,-0.00152588,-0.00213623,0,-0.00305176,-0.00274658,-0.00152588,-0.00305176,0,-0.000915527,-0.00213623,-0.00244141,0
441,-0.00366211,-0.00152588,-0.000610352,-0.00244141,-0.0012207,-0.00244141,-0.0012207,-0.00335693,-0.00213623,-0.0012207,-0.00396729,0.000610352,-0.00213623,-0.00244141,-0.00213623,0
441,-0.00366211,-0.00152588,-0.000610352,-0.00244141,-0.0012207,-0.00244141,-0.0012207,-0.00335693,-0.00213623,-0.0012207,-0.00396729,0.000610352,-0.00213623,-0.00244141,-0.00213623,0
551,-0.00366211,-0.000610352,-0.000305176,-0.00183105,-0.000915527,-0.00274658,-0.000305176,-0.00335693,-0.00213623,-0.0012207,-0.00427246,0.000305176,-0.00183105,-0.00305176,-0.00305176,0
551,-0.00366211,-0.000610352,-0.000305176,-0.00183105,-0.000915527,-0.00274658,-0.000305176,-0.00335693,-0.00213623,-0.0012207,-0.00427246,0.000305176,-0.00183105,-0.00305176,-0.00305176,0
641,-0.00335693,-0.00183105,-0.000610352,-0.00274658,-0.000305176,-0.00244141,0.000305176,-0.00427246,-0.00335693,-0.000915527,-0.00244141,0.000610352,-0.00183105,-0.00213623,-0.00244141,0.000610352
641,-0.00335693,-0.00183105,-0.000610352,-0.00274658,-0.000305176,-0.00244141,0.000305176,-0.00427246,-0.00335693,-0.000915527,-0.00244141,0.000610352,-0.00183105,-0.00213623,-0.00244141,0.000610352
751,-0.00305176,0.000305176,-0.000610352,-0.00152588,-0.000610352,-0.00335693,-0.000305176,-0.00244141,-0.00244141,-0.00152588,-0.00335693,-0.000915527,-0.0012207,-0.00305176,-0.00244141,-0.000305176
751,-0.00305176,0.000305176,-0.000610352,-0.00152588,-0.000610352,-0.00335693,-0.000305176,-0.00244141,-0.00244141,-0.00152588,-0.00335693,-0.000915527,-0.0012207,-0.00305176,-0.00244141,-0.000305176
851,-0.00335693,-0.0012207,-0.000915527,-0.00152588,-0.000610352,-0.00183105,-0.000305176,-0.00335693,-0.00183105,-0.00183105,-0.00305176,0,-0.00152588,-0.00213623,-0.00213623,-0.000610352
851,-0.00335693,-0.0012207,-0.000915527,-0.00152588,-0.000610352,-0.00183105,-0.000305176,-0.00335693,-0.00183105,-0.00183105,-0.00305176,0,-0.00152588,-0.00213623,-0.00213623,-0.000610352
941,-0.00335693,-0.000915527,-0.000610352,-0.00152588,-0.0012207,-0.00305176,-0.000610352,-0.00488281,-0.00244141,-0.00183105,-0.00274658,-0.000305176,-0.00183105,-0.00274658,-0.00244141,-0.000915527
941,-0.00335693,-0.000915527,-0.000610352,-0.00152588,-0.0012207,-0.00305176,-0.000610352,-0.00488281,-0.00244141,-0.00183105,-0.00274658,-0.000305176,-0.00183105,-0.00274658,-0.00244141,-0.000915527
1051,-0.00366211,-0.00152588,-0.000610352,-0.00183105,-0.00183105,-0.00152588,0,-0.00305176,-0.00274658,-0.0012207,-0.00335693,0,-0.00152588,-0.00244141,-0.00213623,-0.000305176
1051,-0.00366211,-0.00152588,-0.000610352,-0.00183105,-0.00183105,-0.00152588,0,-0.00305176,-0.00274658,-0.0012207,-0.00335693,0,-0.00152588,-0.00244141,-0.00213623,-0.000305176
1161,-0.00335693,-0.000915527,-0.0012207,-0.0012207,-0.00183105,-0.00274658,-0.000305176,-0.00427246,-0.00244141,-0.0012207,-0.00305176,0.000610352,-0.0012207,-0.00274658,-0.00244141,-0.0012207
1161,-0.00335693,-0.000915527,-0.0012207,-0.0012207,-0.00183105,-0.00274658,-0.000305176,-0.00427246,-0.00244141,-0.0012207,-0.00305176,0.000610352,-0.0012207,-0.00274658,-0.00244141,-0.0012207
1251,-0.00396729,-0.00152588,-0.00183105,-0.00183105,-0.0012207,-0.00244141,0.000305176,-0.00366211,-0.00244141,-0.000915527,-0.00244141,0.000915527,-0.00152588,-0.00244141,-0.00305176,-0.000305176
1251,-0.00396729,-0.00152588,-0.00183105,-0.00183105,-0.0012207,-0.00244141,0.000305176,-0.00366211,-0.00244141,-0.000915527,-0.00244141,0.000915527,-0.00152588,-0.00244141,-0.00305176,-0.000305176
1361,-0.00305176,-0.00183105,-0.000915527,-0.00213623,-0.000915527,-0.00213623,0,-0.00366211,-0.00335693,-0.00213623,-0.00274658,0.000305176,-0.0012207,-0.00274658,-0.00274658,-0.000305176
1361,-0.00305176,-0.00183105,-0.000915527,-0.00213623,-0.000915527,-0.00213623,0,-0.00366211,-0.00335693,-0.00213623,-0.00274658,0.000305176,-0.0012207,-0.00274658,-0.00274658,-0.000305176
1461,-0.00335693,-0.0012207,-0.000610352,-0.00183105,-0.00183105,-0.00244141,0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00366211,0,-0.000305176,-0.00152588,-0.00213623,-0.000610352
1461,-0.00335693,-0.0012207,-0.000610352,-0.00183105,-0.00183105,-0.00244141,0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00366211,0,-0.000305176,-0.00152588,-0.00213623,-0.000610352
1561,-0.00366211,-0.0012207,0,-0.00152588,-0.00152588,-0.00244141,0,-0.00335693,-0.00305176,-0.00213623,-0.00366211,-0.000305176,-0.00152588,-0.00244141,-0.00244141,-0.000305176
